"code";"parentCode";"level";"name";"shortName";"notes";"validFrom";"validTo"
"01061902";"01061900";"2";"Lislebystranda";;""
"01061903";"01061900";"2";"Falchåsen";;""
"01061904";"01061900";"2";"Leie syd";;""
"01061905";"01061900";"2";"Lisleby syd";;""
"01061906";"01061900";"2";"Kjærsåsen";;""
"01062000";"";"1";"Glemmen nord øst";;""
"01062001";"01062000";"2";"Leie nord";;""
"01062002";"01062000";"2";"Lisleby nord";;""
"01062003";"01062000";"2";"Høyendal";;""
"01062004";"01062000";"2";"Nøkleby syd";;""
"01062005";"01062000";"2";"Nøklebyberget";;""
"01062006";"01062000";"2";"Nøkleby vest";;""
"01062007";"01062000";"2";"Østgård";;""
"01062008";"01062000";"2";"Nøkleby nord";;""
"01062009";"01062000";"2";"Råbekken";;""
"01063100";"";"1";"Hauge";;""
"01063101";"01063100";"2";"Råbekken";;""
"01063102";"01063100";"2";"Omberg syd";;""
"01063103";"01063100";"2";"Omberg nord";;""
"01063104";"01063100";"2";"Hauge-Evje";;""
"01063105";"01063100";"2";"Saxegård";;""
"01063106";"01063100";"2";"Vallefjellet";;""
"01063107";"01063100";"2";"Seljeveien";;""
"01063108";"01063100";"2";"Rå-Haugeåsen";;""
"01063109";"01063100";"2";"Grønli";;""
"01063110";"01063100";"2";"Rådalen";;""
"01063111";"01063100";"2";"Borredalen";;""
"01063200";"";"1";"Rekustad";;""
"01063201";"01063200";"2";"Valle";;""
"01063202";"01063200";"2";"Nes";;""
"01063203";"01063200";"2";"Kirken-Rolvsøysund";;""
"01063204";"01063200";"2";"Rønningen";;""
"01063205";"01063200";"2";"Gullskåret";;""
"01063206";"01063200";"2";"Nesskogen";;""
"01063207";"01063200";"2";"Hatteveien";;""
"01063208";"01063200";"2";"Nesøya";;""
"01063209";"01063200";"2";"Rekustad-Rostad";;""
"01063300";"";"1";"Nylende";;""
"01063301";"01063300";"2";"Rød";;""
"01063302";"01063300";"2";"Rostadneset-Høydal";;""
"01063303";"01063300";"2";"Nylende";;""
"01064100";"";"1";"Nordre Kråkerøy";;""
"01064101";"01064100";"2";"Møllerodden";;""
"01064102";"01064100";"2";"Fuglevik";;""
"01064103";"01064100";"2";"Bekkhus";;""
"01064104";"01064100";"2";"Smertu";;""
"01064105";"01064100";"2";"Bjølstad øst";;""
"01064106";"01064100";"2";"Bjølstad vest";;""
"01064107";"01064100";"2";"Ulvedalsåsen";;""
"01064108";"01064100";"2";"Fuglevik 2";;""
"01064109";"01064100";"2";"Fuglevik 3";;""
"01064200";"";"1";"Vestre Kråkerøy";;""
"01064201";"01064200";"2";"Aasgård/Nordre Bjølstad";;""
"01064202";"01064200";"2";"Glombo";;""
"01064203";"01064200";"2";"Huth";;""
"01064204";"01064200";"2";"Rød";;""
"01064205";"01064200";"2";"Langøya";;""
"01064206";"01064200";"2";"Fredrikstad mek.verksted";;""
"01064300";"";"1";"Søndre Kråkerøy";;""
"01064301";"01064300";"2";"Holte/Kallera/Holme";;""
"01064302";"01064300";"2";"Buskogen";;""
"01064303";"01064300";"2";"Enhuus/Strålsund";;""
"01064304";"01064300";"2";"Alshus/Femdal";;""
"01064305";"01064300";"2";"Lunde";;""
"01064306";"01064300";"2";"Trolldalen/Tangen";;""
"01064307";"01064300";"2";"Kjøkøy";;""
"01065100";"";"1";"Gressvik nordre";;""
"01065101";"01065100";"2";"Skåra";;""
"01065102";"01065100";"2";"Åle nordre";;""
"01065103";"01065100";"2";"Ørebekk";;""
"01065104";"01065100";"2";"Gressvik";;""
"01065105";"01065100";"2";"Kirkeby";;""
"01065200";"";"1";"Gressvik søndre";;""
"01065201";"01065200";"2";"Rød/Trondalen";;""
"01065202";"01065200";"2";"Åle søndre";;""
"01065203";"01065200";"2";"Ålestranda";;""
"01065204";"01065200";"2";"Krossnes";;""
"01065205";"01065200";"2";"Rød/Okseviken";;""
"01065206";"01065200";"2";"Viker";;""
"01065300";"";"1";"Sydbygda";;""
"01065301";"01065300";"2";"Dale";;""
"01065302";"01065300";"2";"Øyenkilen";;""
"01065303";"01065300";"2";"Møklegård";;""
"01065304";"01065300";"2";"Oksrød";;""
"01065305";"01065300";"2";"Slevik";;""
"01065306";"01065300";"2";"Vikane";;""
"01065400";"";"1";"Midtbygda";;""
"01065401";"01065400";"2";"Solbrekke";;""
"01065402";"01065400";"2";"Kjølberg";;""
"01065403";"01065400";"2";"Onsøy stasjon";;""
"01065404";"01065400";"2";"Ørmen";;""
"01065405";"01065400";"2";"Haugerød";;""
"01065406";"01065400";"2";"Bossum";;""
"01065407";"01065400";"2";"Stene";;""
"01065500";"";"1";"Vestbygda";;""
"01065501";"01065500";"2";"Rød vestre";;""
"01065502";"01065500";"2";"Engalsvik";;""
"01065503";"01065500";"2";"Stene vestre";;""
"01065504";"01065500";"2";"Manstad";;""
"01065505";"01065500";"2";"Lervik";;""
"01065506";"01065500";"2";"Saltnes";;""
"01065507";"01065500";"2";"Kjærre";;""
"01066100";"";"1";"Sellebakk";;""
"01066101";"01066100";"2";"Løen";;""
"01066102";"01066100";"2";"Nedre Sellebakk";;""
"01066103";"01066100";"2";"Øvre Sellebakk";;""
"01066104";"01066100";"2";"Kjølstad";;""
"01066105";"01066100";"2";"Kjølberg";;""
"01066106";"01066100";"2";"Kviberg";;""
"01066200";"";"1";"Torp";;""
"01066201";"01066200";"2";"Torp bruk";;""
"01066202";"01066200";"2";"Torpeberget";;""
"01066203";"01066200";"2";"Leca";;""
"01066204";"01066200";"2";"Moum søndre";;""
"01066205";"01066200";"2";"Torp mellem";;""
"01066206";"01066200";"2";"Torpåsen";;""
"01066300";"";"1";"Borge";;""
"01066301";"01066300";"2";"Haugsten";;""
"01066302";"01066300";"2";"Hellene";;""
"01066303";"01066300";"2";"Sperling";;""
"01066304";"01066300";"2";"Moum";;""
"01066305";"01066300";"2";"Tofteberg";;""
"01066306";"01066300";"2";"Sundløkka";;""
"01066307";"01066300";"2";"Årum";;""
"01066308";"01066300";"2";"Molteberg";;""
"01066309";"01066300";"2";"Opphus";;""
"01066310";"01066300";"2";"Skjærviken";;""
"01066311";"01066300";"2";"Visur";;""
"01066312";"01066300";"2";"Begby";;""
"01066400";"";"1";"Torsnes";;""
"01066402";"01066400";"2";"Veel";;""
"01066403";"01066400";"2";"Holm";;""
"01066404";"01066400";"2";"Berg";;""
"01066405";"01066400";"2";"Kile";;""
"01066406";"01066400";"2";"Thorsø";;""
"01066407";"01066400";"2";"Grimstad Syd";;""
"01066408";"01066400";"2";"Grimstad Nord";;""
"01110100";"";"1";"Østre Hvaler";;""
"01110101";"01110100";"2";"Nordre Sandøy/Singeløy";;""
"01110102";"01110100";"2";"Søndre Sandøy";;""
"01110103";"01110100";"2";"Herføl/Lauer";;""
"01110104";"01110100";"2";"Skjærhalden vestre";;""
"01110105";"01110100";"2";"Skjærhalden østre";;""
"01110106";"01110100";"2";"Brekke";;""
"01110107";"01110100";"2";"Kile";;""
"01110108";"01110100";"2";"Dammyr";;""
"01110109";"01110100";"2";"Storrød";;""
"01110200";"";"1";"Vestre Hvaler";;""
"01110201";"01110200";"2";"Asmaløy";;""
"01110202";"01110200";"2";"Nordre Spjærøy";;""
"01110203";"01110200";"2";"Søndre Spjærøy";;""
"01110204";"01110200";"2";"Utgård";;""
"01110205";"01110200";"2";"Skjelsbo/Langekil";;""
"01110206";"01110200";"2";"Papper";;""
"01110207";"01110200";"2";"Hauge";;""
